SIM,HSV-CSF1,HSV-CSF2,HSV-CSF3,HSV-CSF4,HSV-CSF5,HSV1-nonCSF1,HSV1-nonCSF10,HSV1-nonCSF11,HSV1-nonCSF13,HSV-nonCSF14,HSV1-nonCSF15,HSV1-nonCSF5,HSV1-nonCSF6,HSV1-nonCSF7,,,,,,,,,,,,,HSV1-CSF6,HSV1-CSF7,HSV1-CSF8
ORIGINAL,2.00E-04,1.64E-04,2.66E-04,2.65E-04,1.29E-04,2.59E-04,2.24E-04,3.56E-04,3.13E-04,1.74E-04,1.45E-04,1.71E-04,2.99E-04,1.16E-03,,,,,,,,,,,,,2.34E-04,2.47E-04,3.11E-04
1,1.90E-04,1.44E-04,1.89E-04,2.37E-04,1.06E-04,2.41E-04,2.00E-04,2.86E-04,2.61E-04,1.63E-04,1.49E-04,1.70E-04,2.60E-04,1.11E-03,,,,,,,,,,,,,1.94E-04,2.05E-04,2.74E-04
2,1.84E-04,1.46E-04,2.14E-04,2.35E-04,1.27E-04,2.40E-04,2.05E-04,3.22E-04,2.45E-04,1.64E-04,1.66E-04,1.63E-04,2.61E-04,1.12E-03,,,,,,,,,,,,,1.90E-04,2.03E-04,2.50E-04
3,1.87E-04,1.59E-04,2.06E-04,2.07E-04,1.33E-04,2.52E-04,2.18E-04,3.11E-04,2.54E-04,1.69E-04,1.46E-04,1.83E-04,2.71E-04,1.14E-03,,,,,,,,,,,,,1.86E-04,1.85E-04,2.73E-04
4,1.94E-04,1.33E-04,2.28E-04,2.50E-04,1.21E-04,2.35E-04,2.07E-04,3.06E-04,2.39E-04,1.76E-04,1.40E-04,1.64E-04,2.68E-04,1.12E-03,,,,,,,,,,,,,1.91E-04,2.06E-04,2.50E-04
5,2.01E-04,1.46E-04,2.04E-04,2.36E-04,1.23E-04,2.50E-04,2.16E-04,3.23E-04,2.52E-04,1.80E-04,1.47E-04,1.55E-04,2.82E-04,1.13E-03,,,,,,,,,,,,,1.97E-04,2.00E-04,2.34E-04
6,1.78E-04,1.34E-04,2.16E-04,2.27E-04,1.18E-04,2.48E-04,2.11E-04,3.06E-04,2.47E-04,1.59E-04,1.42E-04,1.50E-04,2.73E-04,1.11E-03,,,,,,,,,,,,,1.97E-04,2.06E-04,2.54E-04
7,1.95E-04,1.28E-04,2.30E-04,2.15E-04,1.12E-04,2.59E-04,2.23E-04,3.04E-04,2.69E-04,1.53E-04,1.55E-04,1.61E-04,2.74E-04,1.13E-03,,,,,,,,,,,,,1.91E-04,2.28E-04,2.59E-04
8,1.99E-04,1.37E-04,2.14E-04,2.22E-04,1.21E-04,2.52E-04,2.17E-04,3.21E-04,2.87E-04,1.54E-04,1.48E-04,1.66E-04,2.54E-04,1.12E-03,,,,,,,,,,,,,1.71E-04,2.00E-04,2.38E-04
9,1.95E-04,1.56E-04,2.21E-04,2.20E-04,1.19E-04,2.53E-04,2.26E-04,3.25E-04,2.52E-04,1.68E-04,1.46E-04,1.73E-04,2.47E-04,1.11E-03,,,,,,,,,,,,,1.91E-04,2.23E-04,2.49E-04
10,1.99E-04,1.35E-04,2.12E-04,2.18E-04,1.14E-04,2.47E-04,2.26E-04,3.13E-04,2.36E-04,1.62E-04,1.35E-04,1.82E-04,2.78E-04,1.12E-03,,,,,,,,,,,,,1.88E-04,1.95E-04,2.52E-04
11,1.89E-04,1.40E-04,2.21E-04,2.20E-04,1.30E-04,2.53E-04,2.06E-04,3.06E-04,2.63E-04,1.72E-04,1.44E-04,1.57E-04,2.86E-04,1.13E-03,,,,,,,,,,,,,1.76E-04,1.93E-04,2.47E-04
12,1.98E-04,1.37E-04,2.02E-04,2.31E-04,1.13E-04,2.78E-04,2.01E-04,3.20E-04,2.49E-04,1.61E-04,1.38E-04,1.64E-04,2.64E-04,1.12E-03,,,,,,,,,,,,,1.88E-04,2.03E-04,2.28E-04
13,1.94E-04,1.43E-04,2.05E-04,2.25E-04,9.91E-05,2.39E-04,1.97E-04,3.03E-04,2.41E-04,1.53E-04,1.45E-04,1.63E-04,2.79E-04,1.11E-03,,,,,,,,,,,,,1.76E-04,2.08E-04,2.57E-04
14,1.88E-04,1.37E-04,1.97E-04,2.13E-04,1.19E-04,2.48E-04,2.13E-04,3.19E-04,2.48E-04,1.55E-04,1.44E-04,1.73E-04,2.66E-04,1.13E-03,,,,,,,,,,,,,1.97E-04,2.07E-04,2.40E-04
15,1.79E-04,1.49E-04,2.00E-04,2.20E-04,1.27E-04,2.46E-04,2.19E-04,3.07E-04,2.44E-04,1.57E-04,1.32E-04,1.75E-04,2.72E-04,1.13E-03,,,,,,,,,,,,,1.87E-04,1.96E-04,2.47E-04
16,1.96E-04,1.43E-04,2.35E-04,2.18E-04,1.13E-04,2.63E-04,2.17E-04,3.19E-04,2.55E-04,1.75E-04,1.30E-04,1.75E-04,2.64E-04,1.11E-03,,,,,,,,,,,,,1.85E-04,2.00E-04,2.70E-04
17,1.98E-04,1.37E-04,2.28E-04,2.40E-04,1.18E-04,2.40E-04,2.16E-04,3.08E-04,2.56E-04,1.56E-04,1.38E-04,1.75E-04,2.92E-04,1.12E-03,,,,,,,,,,,,,1.98E-04,2.07E-04,2.46E-04
18,1.92E-04,1.48E-04,2.24E-04,2.18E-04,1.07E-04,2.50E-04,2.03E-04,3.02E-04,2.75E-04,1.68E-04,1.40E-04,1.59E-04,2.80E-04,1.12E-03,,,,,,,,,,,,,1.91E-04,2.14E-04,2.77E-04
